1,"Artist Name", "Genre", "Debut Year", "Top Album", "Number of Albums", "Active",
2,"The Beatles", "Rock", 1960, "Abbey Road", 12, "No",
3,"Taylor Swift", "Pop/Country", 2006, "1989", 10, "Yes",
4,"Miles Davis", "Jazz", 1944, "Kind of Blue", 50, "No",
5,"Nirvana", "Grunge", 1987, "Nevermind", 3, "No",
6,"Beyoncé", "Pop/R&B", 1997, "Lemonade", 7, "Yes",
7,"Bob Dylan", "Folk/Rock", 1961, "Highway 61 Revisited", 39, "Yes",
8,"Adele", "Pop/Soul", 2008, "21", 4, "Yes",
9,"Pink Floyd", "Rock", 1965, "The Dark Side of the Moon", 15, "No",
10,"Elton John", "Pop/Rock", 1962, "Goodbye Yellow Brick Road", 31, "Yes",
11,"Michael Jackson", "Pop", 1964, "Thriller", 10, "No",
12,"Madonna", "Pop", 1979, "Like a Virgin", 14, "Yes",
13,"Led Zeppelin", "Rock", 1968, "Led Zeppelin IV", 9, "No",
14,"Kendrick Lamar", "Hip-Hop", 2004, "To Pimp a Butterfly", 5, "Yes",
15,"Drake", "Hip-Hop", 2006, "Take Care", 8, "Yes",
16,"Radiohead", "Alternative Rock", 1985, "OK Computer", 9, "Yes",
17,"The Rolling Stones", "Rock", 1962, "Exile on Main St.", 30, "Yes",
18,"Coldplay", "Alternative Rock", 1996, "A Rush of Blood to the Head", 9, "Yes",
19,"U2", "Rock", 1976, "The Joshua Tree", 14, "Yes",
20,"Kanye West", "Hip-Hop", 2003, "My Beautiful Dark Twisted Fantasy", 11, "Yes",
21,"Lady Gaga", "Pop", 2005, "The Fame", 6, "Yes",
22,"Bruce Springsteen", "Rock", 1972, "Born in the U.S.A.", 21, "Yes",
23,"The Who", "Rock", 1964, "Who's Next", 12, "No",
24,"Eminem", "Hip-Hop", 1996, "The Marshall Mathers LP", 11, "Yes",
25,"Fleetwood Mac", "Rock", 1967, "Rumours", 18, "No",
26,"The Weeknd", "R&B/Pop", 2010, "After Hours", 5, "Yes",
27,"Billie Eilish", "Pop/Alternative", 2015, "When We All Fall Asleep, Where Do We Go?", 2, "Yes",
28,"Prince", "Funk/Pop", 1976, "Purple Rain", 39, "No",
29,"Queen", "Rock", 1970, "A Night at the Opera", 15, "No",
30,"Rihanna", "Pop/R&B", 2005, "Anti", 8, "Yes",
31,"Johnny Cash", "Country", 1955, "At Folsom Prison", 97, "No",
32,"The Beach Boys", "Rock", 1961, "Pet Sounds", 29, "Yes",
33,"Metallica", "Metal", 1981, "Master of Puppets", 10, "Yes",
34,"Frank Sinatra", "Jazz/Pop", 1935, "In the Wee Small Hours", 59, "No",
35,"Whitney Houston", "Pop", 1985, "Whitney Houston", 7, "No",
36,"Jay-Z", "Hip-Hop", 1989, "The Blueprint", 13, "Yes",
37,"David Bowie", "Rock", 1964, "The Rise and Fall of Ziggy Stardust", 27, "No",
38,"The Clash", "Punk Rock", 1976, "London Calling", 6, "No",
39,"Bob Marley", "Reggae", 1962, "Exodus", 13, "No",
40,"Arctic Monkeys", "Indie Rock", 2002, "AM", 7, "Yes",
41,"Bruno Mars", "Pop/Funk", 2004, "Doo-Wops & Hooligans", 3, "Yes",
42,"Green Day", "Punk Rock", 1987, "American Idiot", 13, "Yes",
43,"The Cure", "Alternative Rock", 1978, "Disintegration", 13, "Yes",
44,"Shakira", "Pop/Latin", 1990, "Laundry Service", 11, "Yes",
45,"Jimi Hendrix", "Rock", 1966, "Are You Experienced", 3, "No",
46,"The Eagles", "Rock", 1971, "Hotel California", 7, "Yes",
47,"Foo Fighters", "Rock", 1994, "Wasting Light", 11, "Yes",
48,"ABBA", "Pop", 1972, "Arrival", 9, "Yes",
49,"Post Malone", "Hip-Hop/Pop", 2015, "Hollywood's Bleeding", 4, "Yes",
50,"Imagine Dragons", "Pop/Rock", 2008, "Night Visions", 5, "Yes",
51,"Harry Styles", "Pop", 2010, "Fine Line", 3, "Yes",
52,"Lizzo", "Pop/Hip-Hop", 2010, "Cuz I Love You", 3, "Yes"
